,0
0,1321.84
1,1231.35
2,835.17
3,1066.4
4,1269.99
5,1089.54
6,1196.46
7,1797.92
8,1788.64
9,1663.39
10,1583.17
11,1762.13
12,1713.22
13,1825.44
14,1750.75
15,1645.09
16,1542.01
17,1613.33
18,1730.22
19,1846.74
20,1943.52
21,2026.49
22,2143.8
23,2065.35
24,2049.37
25,2110.88
26,2018.51
27,2030.75
28,2104.23
29,2101.69
30,2107.2
31,2100.21
32,1803.03
33,1928.42
34,1915.0
35,1980.62
36,1936.22
37,1866.73
38,2025.31
39,1925.83
40,1912.35
41,1731.09
42,1799.12
43,1815.37
44,1689.5
45,1882.45
46,1849.88
47,1838.03
48,1808.46
49,1843.83
50,1876.0
51,1879.56
52,1876.58
53,1800.09
54,1769.94
55,1796.74
56,1814.06
57,1730.81
58,1836.36
59,1816.01
60,1799.4
61,1821.53
62,1779.81
63,1760.01
64,1754.4
65,1746.95
66,1719.0
67,1747.04
68,1708.42
69,1688.43
70,1670.89
71,1657.86
72,1656.77
73,1621.38
74,1670.34
75,1643.07
76,1627.56
77,1605.07
78,1602.68
79,1582.56
80,1531.99
81,1566.51
82,1271.32
83,1541.46
84,1530.7
85,1517.83
86,1516.61
87,1492.54
88,1486.16
89,1476.17
90,1449.7
91,1462.28
92,1469.48
93,1461.51
94,1422.52
95,1426.66
96,1445.92
97,1407.49
98,1381.99
99,1363.43
100,1341.93
101,1352.08
102,1338.19
103,1315.03
104,1327.88
105,1303.14
106,1260.68
107,1274.99
108,1284.46
109,1265.55
110,1259.84
111,1271.06
112,1270.05
113,1258.8
114,1227.73
115,1225.49
116,1219.49
117,1164.85
118,1159.5
119,1144.6
120,1151.51
121,1156.03
122,1102.71
123,1132.86
124,1126.28
125,1118.7
126,1106.92
127,1108.46
128,1103.34
129,1081.35
130,1052.31
131,1065.3
132,1060.31
133,1059.88
134,1043.1
135,1022.91
136,1010.43
137,1029.24
138,984.41
139,974.33
140,976.94
141,977.94
142,1009.31
143,827.45
144,973.31
145,962.19
146,973.19
147,955.41
148,945.76
149,902.36
150,936.98
151,922.56
152,902.22
153,877.42
154,906.35
155,889.66
156,872.29
157,874.52
158,860.28
159,836.35
160,840.77
161,856.27
162,844.47
163,834.74
164,836.52
165,785.29
166,810.51
167,816.92
168,808.44
169,772.21
170,799.73
171,782.61
172,767.04
173,775.52
174,775.85
175,763.65
176,752.41
177,737.93
178,739.38
179,726.41
180,674.67
181,710.65
182,694.95
183,689.51
184,690.13
185,672.63
186,665.19
187,660.69
188,654.91
189,649.99
190,641.79
191,636.28
192,612.32
193,605.78
194,610.7
195,606.04
196,582.82
197,579.96
198,581.37
199,571.22
200,570.45
201,565.92
202,545.06
203,550.48
204,532.05
205,543.28
206,531.22
207,530.1
208,522.9
209,508.86
210,512.07
211,510.37
212,505.03
213,501.99
214,481.67
215,480.57
216,458.29
217,479.16
218,473.98
219,469.54
220,464.03
221,460.28
